ء		 
ء ب د	'-b-d	abide bleib-
ء ب ر	ʾ-b-r	prick
ء ت ي	ʾ-t-y	wate-:come
ء ث م	ʾ-š-m	sin א־ש־ם
ء خ ذ	ʾ-ḵ-ḏ	take≠act≠cut:grab
ء د ب	ʾ-d-b	adabt:educated 𒁾 
ء ذ ي	ʾ-ḏ-y	haut,hurt,a damage 
ء ر ض	ʾ-r-ḍ	Erd- earth- א־ר־ץ ʾ-r-ṣ
ء ر ق	ʾ-r-q	erect:sleepless
ء س ر	ʾ-s-r	zerr:seil:bind
ء س س	ʾ-s-s	bases
ء س و	ʾ-s-w	suffer
ء ف ل	ʾ-f-l	flee
ء ك س د	oxid	
ء ك ل	ʾ-k-l	kohl:food
ء ل ف	ʾ-l-f	{compose}?
ء ل ق	ʾ-l-q	light:shine
ء ل ل	ʾ-l-l	1.Eile:šnell 2.relate
ء ل و	ʾ-l-w	low:lack 2.
ء م ر	ʾ-m-r	mayor
ء م م	ʾ-m-m	imam (head)
ء م ن	ʾ-m-n	mens:trust
ء ن ث	ʾ-n-ᵖṯ	Nutte:女
ء ن ي	ʾ-n-y	near
ء و ب	ʾ-ov-b	ob… return  𐎘𐎁 ṯb
ء و ل	ʾ-ov-ł	allé return 𓎫
ء و م	ʾ-ov-m	fume omm:smoke…
ء و ي	ʾ-ov-y	evade
ء ي د	ʾ-y-d	{strong} 𓂝 𓂞 𓂦 𓂡
ء ي س	ʾ-y-s	despair
		 
ب	b	 
ب ت ل	b-ᵇt-ł	abteil
ب ث ث	b-ᵖṯ-ᵖṯ	beat:spread,broadcast
ب ج ل	b-ʒ-ł	poly:viel
ب ح ث	b-h-ᵖṯ	photo:search <> video
ب ح ر	b-h-r	berg:big (sea)
ب خ ر	b-ḵ-r	vapor
ب د ل	b-d-ł	bad:pain
ب د و	b-d-ov	photo:appear bad¬good Bedouin
ب ر ء	b-r-ʾ	free (absolve,heal)
ب ر ر	b-r-r	bear:perform-piousness
ب ر ز	b-r-z	part (go out, appear)
ب ر ك	b-r-k	preach:bless
ب ر ي	b-r-y	pare(peel),pro-,forward,vie
ب ز م	b-z-m	beiß bite 𓂘 pinch
ب س ر	b-s-r	press 𓂘,premature, haste
ب س ط	b-s-th	best:present spread
ب س م	b-s-m	be smiling (best™)
ب ش ر	b-š-r	flesh® @ bazar
ب ط ن	b-th-n	binnen ≠ buten <<
ب ع ث ر	b-æ-ᵖṯ-r	beat-pot:scatter
ب ع د	b-æ-d	part:wide:separation
ب غ ض	b-ḡʳ-ᵇḍ	{hate} ab¬gard ≠ regard
ب غ ي	b-ḡʳ-y	beg:wish <> preach,pregunt
ب ق ر	b-q-r	brake:rip
ب ق ق	b-q-q	beget,becka,bake:…
ب ق ل	b-q-ł	beget,appear,produce,brake-forth:…  𒁀𒋡𒀀𒇻
ب ك ي	b-k-y	{weep}
ب ل د	b-ł-d	blöd!
ب ل س	b-ł-s	διάβολος تَبَلُّس‎ taballus devil <> übels
ب ل ع	b-ł-æ	s'bowl swallow
ب ل غ	b-ł-ḡʳ	back:arrive <<
ب ل ل	b-ł-ł	bowl:fill:wet
ب ل و	b-ł-ov	? wrack…
ب ن ي	b-n-y	bauen
ب ه ت	b-ι-ᵇt	bad,blöd <> b-ł-d palid paled
ب ه ج	b-ι-ʒ	beauty:joy
ب ه ظ	b-ι-ᵈẓ	peso:weights oppress
ب ه م	b-ι-m	dim
ب و ن	b-ov-n	bon   ≈ ب ي ن‎ b-y-n
ب ي ض	b-y-ᵇḍ	white
ب ي ع	b-y-æ	buy:sell
ب ي ن	b-y-n	
		 
ت	ᵇt	 
ت ب ع	ᵇt-b-æ	thief:follow? 
ت ر ب	ᵇt-r-b	terra!
ت ر ج م	ᵇt-r-ʒ-m	𒅴𒁄 /targuman/ translator תֻּרְגְּמָן‎ turg'mán !
ت ر ك	ᵇt-r-k	track:leave
ت ع ب	ᵇt-æ-b	tired
ت ق ن	ᵇt-q-n	technic:skill 
ت ل ف	ᵇt-ł-ph	  die,perish 𐩩𐩡𐩰 ‎<< tlf
ت م م	ᵇt-m-m	∑ total-mathema complete <> top
		 
ث	ᵖṯ	 
ث ب ت	ᵖṯ-b-ᵇt	{fix} 𓏴
